checkTimeEt,commercialScore,dataGrade,dataQualityGrade,dateChecked,dateModified,death,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,inIcuCumulative,inIcuCurrently,lastUpdateEt,negative,negativeRegularScore,negativeScore,onVentilatorCumulative,onVentilatorCurrently,pending,posNeg,positive,positiveScore,recovered,score,state,total,totalTestResults
5/05 15:24,1.0,A,C,2020-05-05T19:24:00Z,2020-05-05T04:00:00Z,16,30,62.0,62.0,6.0,,,5/05 00:00,14816,1.0,1.0,,,,15272,456,1.0,410.0,4.0,MT,15272,15272
5/05 15:27,1.0,A,B,2020-05-05T19:27:00Z,2020-05-05T15:00:00Z,452,37,,,534.0,,,5/05 11:00,139544,1.0,1.0,,,,151800,12256,1.0,,4.0,NC,151800,151800
5/05 15:28,0.0,B,C,2020-05-05T19:28:00Z,2020-05-05T17:00:00Z,25,38,95.0,95.0,31.0,,,5/05 13:00,35155,1.0,1.0,,,,36421,1266,1.0,559.0,3.0,ND,36421,36421
5/05 15:36,1.0,A,D,2020-05-05T19:36:00Z,2020-05-04T00:45:00Z,78,31,,,,,,5/03 20:45,28526,1.0,1.0,,,,34609,6083,1.0,,4.0,NE,34609,34609
5/05 15:46,0.0,B,C,2020-05-05T19:46:00Z,2020-05-04T13:00:00Z,86,33,286.0,286.0,111.0,82.0,,5/04 09:00,24282,1.0,1.0,,,79.0,26870,2588,1.0,1019.0,3.0,NH,26949,26870
5/05 15:57,1.0,A,A+,2020-05-05T19:57:00Z,2020-05-05T17:00:00Z,8244,34,,,5328.0,,1534.0,5/05 13:00,157030,1.0,1.0,,1169.0,550.0,287623,130593,1.0,15642.0,4.0,NJ,288173,287623
5/05 16:00,1.0,A,C,2020-05-05T20:00:00Z,2020-05-04T21:53:00Z,156,35,667.0,667.0,181.0,,,5/04 17:53,77689,1.0,1.0,,,,81720,4031,1.0,842.0,4.0,NM,81720,81720
5/05 16:04,1.0,A,D,2020-05-05T20:04:00Z,2020-05-05T14:00:00Z,268,32,,,,,,5/05 10:00,42290,1.0,1.0,,,,47884,5594,1.0,200.0,4.0,NV,47884,47884
5/05 16:54,1.0,A,B,2020-05-05T20:54:00Z,2020-05-05T04:00:00Z,19645,36,69867.0,69867.0,9603.0,,,5/05 00:00,707707,1.0,1.0,,,,1028899,321192,1.0,58950.0,4.0,NY,1028899,1028899
5/05 16:09,1.0,B,B,2020-05-05T20:09:00Z,2020-05-05T18:00:00Z,1135,39,3956.0,3956.0,1069.0,1123.0,402.0,5/05 14:00,139766,0.0,1.0,,281.0,,160735,20969,1.0,,3.0,OH,160735,160735
5/05 14:58,1.0,B,A,2020-05-05T18:58:00Z,2020-05-05T04:00:00Z,247,40,773.0,773.0,236.0,,113.0,5/05 00:00,75290,0.0,1.0,,,,79417,4127,1.0,2830.0,3.0,OK,79417,79417
5/05 16:28,1.0,A,A+,2020-05-05T20:28:00Z,2020-05-05T15:00:00Z,113,41,622.0,622.0,219.0,,49.0,5/05 11:00,62585,1.0,1.0,,25.0,,65424,2839,1.0,860.0,4.0,OR,65424,65424
5/05 15:30,1.0,A,C,2020-05-05T19:30:00Z,2020-05-05T04:00:00Z,3012,42,,,2580.0,,,5/05 00:00,199925,1.0,1.0,,550.0,,250882,50957,1.0,,4.0,PA,250882,250882
5/05 16:44,0.0,B,A+,2020-05-05T20:44:00Z,2020-05-05T16:00:00Z,355,44,1092.0,1092.0,327.0,,89.0,5/05 12:00,66502,1.0,1.0,,62.0,,76435,9933,1.0,639.0,3.0,RI,76435,76435
5/05 15:36,0.0,B,B,2020-05-05T19:36:00Z,2020-05-04T20:35:00Z,283,45,1110.0,1110.0,,,,5/04 16:35,61014,1.0,1.0,,,,67771,6757,1.0,3622.0,3.0,SC,67771,67771
5/05 15:40,1.0,A,C,2020-05-05T19:40:00Z,2020-05-04T22:00:00Z,24,46,220.0,220.0,75.0,,,5/04 18:00,16301,1.0,1.0,,,,19022,2721,1.0,1895.0,4.0,SD,19022,19022
5/05 16:20,1.0,A,B,2020-05-05T20:20:00Z,2020-05-05T19:00:00Z,226,47,1156.0,1156.0,,,,5/05 15:00,205172,1.0,1.0,,,,218862,13690,1.0,6356.0,4.0,TN,218862,218862
5/05 15:50,1.0,A,B,2020-05-05T19:50:00Z,2020-05-05T17:15:00Z,906,48,,,1888.0,,,5/05 13:15,393841,1.0,1.0,,,,427210,33369,1.0,16791.0,4.0,TX,427210,427210
5/05 16:14,1.0,A,C,2020-05-05T20:14:00Z,2020-05-05T19:00:00Z,56,49,456.0,456.0,,,,5/05 15:00,121266,1.0,1.0,,,,126715,5449,1.0,2387.0,4.0,UT,126715,126715
5/05 15:59,1.0,A,A+,2020-05-05T19:59:00Z,2020-05-04T21:00:00Z,713,51,4113.0,4113.0,1496.0,,361.0,5/04 17:00,93452,1.0,1.0,,189.0,469.0,113708,20256,1.0,2617.0,4.0,VA,114177,113708
