checkTimeEt,commercialScore,dataGrade,dataQualityGrade,dateChecked,dateModified,death,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,inIcuCumulative,inIcuCurrently,lastUpdateEt,negative,negativeRegularScore,negativeScore,onVentilatorCumulative,onVentilatorCurrently,pending,posNeg,positive,positiveScore,recovered,score,state,total,totalTestResults
5/13 14:57,1.0,A,A,2020-05-13T18:57:00Z,2020-05-12T23:00:00Z,465,28,1616.0,1616.0,604.0,,150.0,5/12 19:00,89958.0,1.0,1.0,,79.0,,100048,10090,1.0,6268.0,4.0,MS,100048,100048
5/13 15:15,1.0,A,B,2020-05-13T19:15:00Z,2020-05-13T04:00:00Z,16,30,63.0,63.0,3.0,,,5/13 00:00,23390.0,1.0,1.0,,,,23852,462,1.0,430.0,4.0,MT,23852,23852
5/13 15:15,1.0,A,A,2020-05-13T19:15:00Z,2020-05-13T14:40:00Z,597,37,,,521.0,,,5/13 10:40,194641.0,1.0,1.0,,,,210457,15816,1.0,9115.0,4.0,NC,210457,210457
5/13 15:10,0.0,B,C,2020-05-13T19:10:00Z,2020-05-13T17:00:00Z,40,38,127.0,127.0,37.0,,,5/13 13:00,47298.0,1.0,1.0,,,,48945,1647,1.0,969.0,3.0,ND,48945,48945
5/13 15:14,1.0,A,B,2020-05-13T19:14:00Z,2020-05-13T00:00:00Z,103,31,,,192.0,,81.0,5/12 20:00,41033.0,1.0,1.0,,56.0,,49725,8692,1.0,,4.0,NE,49725,49725
5/13 14:16,0.0,B,B,2020-05-13T18:16:00Z,2020-05-12T13:00:00Z,142,33,319.0,319.0,121.0,97.0,,5/12 09:00,33977.0,1.0,1.0,,,51.0,37216,3239,1.0,1234.0,3.0,NH,37267,37216
5/13 14:23,1.0,A,A+,2020-05-13T18:23:00Z,2020-05-13T17:00:00Z,9702,34,,,4226.0,,1226.0,5/13 13:00,299890.0,1.0,1.0,,928.0,,441450,141560,1.0,15642.0,4.0,NJ,441450,441450
5/13 14:27,1.0,A,C,2020-05-13T18:27:00Z,2020-05-12T22:05:00Z,219,35,886.0,886.0,199.0,,,5/12 18:05,105077.0,1.0,1.0,,,,110289,5212,1.0,1434.0,4.0,NM,110289,110289
5/13 14:33,1.0,A,B,2020-05-13T18:33:00Z,2020-05-13T16:30:00Z,321,32,,,522.0,,121.0,5/13 12:30,60278.0,1.0,1.0,,64.0,,66672,6394,1.0,198.0,4.0,NV,66672,66672
5/13 16:55,1.0,A,A,2020-05-13T20:55:00Z,2020-05-13T04:00:00Z,22013,36,73963.0,73963.0,6946.0,,2308.0,5/13 00:00,918246.0,1.0,1.0,,1908.0,,1258907,340661,1.0,59193.0,4.0,NY,1258907,1258907
