"DATERECORDED","STATE","POSITIVE","NEGATIVE","TEST_TOTAL","DEATH","DELIVERIES","COST","WEIGHT",
2020-05-07 00:00:00,"ID",2158,28732,30890,66,14,7448.47,1365,
2020-05-08 00:00:00,"ID",2178,29092,31270,67,75,336409.98,15171,
2020-05-09 00:00:00,"ID",2205,29601,31806,67,75,336409.98,15171,
2020-05-10 00:00:00,"ID",2230,29912,32142,67,75,336409.98,15171,
2020-05-11 00:00:00,"ID",2230,29912,32142,67,75,336409.98,15171,
2020-05-06 00:00:00,"IL",68232,293028,361260,2974,32,15481.32,1474,
2020-05-07 00:00:00,"IL",70873,308170,379043,3111,38,22056.42,2734,
2020-05-08 00:00:00,"IL",73760,325954,399714,3241,185,1502407.82,15728,
2020-05-09 00:00:00,"IL",76085,340246,416331,3349,185,1502407.82,15728,
2020-05-10 00:00:00,"IL",77741,352243,429984,3406,185,1502407.82,15728,
2020-05-11 00:00:00,"IL",79007,363418,442425,3459,186,1502784.5,15746,
2020-05-06 00:00:00,"IN",21870,98626,120496,1377,19,6055.67,1065,
2020-05-07 00:00:00,"IN",22503,102279,124782,1414,22,9343.22,1695,
2020-05-08 00:00:00,"IN",23146,106982,130128,1447,156,542835.5,9780,
2020-05-09 00:00:00,"IN",23732,111954,135686,1490,156,542835.5,9780,
2020-05-10 00:00:00,"IN",24126,115903,140029,1508,156,542835.5,9780,
2020-05-11 00:00:00,"IN",24627,122061,146688,1540,157,548246.81,9788,
2020-05-06 00:00:00,"KS",5734,36380,42114,144,13,4826.62,757,
2020-05-07 00:00:00,"KS",6144,38678,44822,147,16,8114.17,1387,
2020-05-08 00:00:00,"KS",6501,41207,47708,152,101,274282.49,6603,
2020-05-09 00:00:00,"KS",6751,43182,49933,157,101,274282.49,6603,
2020-05-10 00:00:00,"KS",6948,45557,52505,157,101,274282.49,6603,
2020-05-11 00:00:00,"KS",7116,46993,54109,158,104,307542.37,6623,
2020-05-06 00:00:00,"KY",5822,55192,61014,275,14,3501.66,535,
2020-05-07 00:00:00,"KY",5934,72672,78606,283,17,6789.21,1165,
2020-05-08 00:00:00,"KY",6129,75272,81401,294,74,294342.78,4306,
2020-05-09 00:00:00,"KY",6288,80159,86447,298,74,294342.78,4306,
2020-05-10 00:00:00,"KY",6440,80483,86923,304,74,294342.78,4306,
2020-05-11 00:00:00,"KY",6440,80483,86923,304,77,297630.24,4898,
2020-05-06 00:00:00,"LA",30399,164273,194672,2115,48,48025.57,2136,
2020-05-07 00:00:00,"LA",30652,170115,200767,2208,58,58984.07,4236,
2020-05-08 00:00:00,"LA",30855,171561,202416,2227,346,1661951.56,34665,
2020-05-09 00:00:00,"LA",31417,180740,212157,2267,346,1661951.56,34665,
2020-05-10 00:00:00,"LA",31600,184272,215872,2286,346,1661951.56,34665,
2020-05-11 00:00:00,"LA",31815,189015,220830,2308,349,1688255.17,34700,
2020-05-06 00:00:00,"MA",72025,267614,339639,4420,56,139829.27,13569,
2020-05-07 00:00:00,"MA",73721,277911,351632,4552,60,144212.67,14409,
2020-05-08 00:00:00,"MA",75333,290690,366023,4702,84,202192,15835,
2020-05-09 00:00:00,"MA",76743,299794,376537,4840,84,202192,15835,
2020-05-10 00:00:00,"MA",77793,310596,388389,4979,84,202192,15835,
2020-05-11 00:00:00,"MA",78462,316266,394728,5108,84,202192,15835,
2020-05-06 00:00:00,"MD",28163,115849,144012,1437,16,168824.36,16615,
2020-05-07 00:00:00,"MD",29374,119226,148600,1503,19,172111.91,17245,
2020-05-08 00:00:00,"MD",30485,121702,152187,1560,81,751216.72,21501,
2020-05-09 00:00:00,"MD",31534,124494,156028,1614,81,751216.72,21501,
2020-05-10 00:00:00,"MD",32587,127344,159931,1644,81,751216.72,21501,
2020-05-11 00:00:00,"MD",33373,131407,164780,1683,83,768670.47,22168,
2020-05-06 00:00:00,"ME",1254,22092,23346,62,11,1200.45,275,
2020-05-07 00:00:00,"ME",1330,22092,23422,62,13,3392.15,695,
2020-05-08 00:00:00,"ME",1374,22092,23466,63,80,127319.97,5702,
2020-05-09 00:00:00,"ME",1408,22092,23500,64,80,127319.97,5702,
2020-05-10 00:00:00,"ME",1436,22092,23528,64,80,127319.97,5702,
2020-05-11 00:00:00,"ME",1462,22092,23554,65,82,129511.63,6097,
2020-05-06 00:00:00,"MI",45054,188177,233231,4250,27,11057.17,1218,
2020-05-07 00:00:00,"MI",45646,201416,247062,4343,38,23111.52,3528,
2020-05-08 00:00:00,"MI",46326,213927,260253,4393,154,254915.2,11995,
2020-05-09 00:00:00,"MI",46756,226730,273486,4526,154,254915.2,11995,
2020-05-10 00:00:00,"MI",47138,238540,285678,4551,154,254915.2,11995,
2020-05-11 00:00:00,"MI",47552,251396,298948,4584,157,260814.2,12543,
2020-05-06 00:00:00,"MN",8579,84653,93232,485,5,1532.17,310,
2020-05-07 00:00:00,"MN",9365,88056,97421,508,6,2628.02,520,
2020-05-08 00:00:00,"MN",10088,91182,101270,534,12,15732.73,1007,
2020-05-09 00:00:00,"MN",10790,95473,106263,558,12,15732.73,1007,
2020-05-10 00:00:00,"MN",11271,99817,111088,578,12,15732.73,1007,
2020-05-11 00:00:00,"MN",11799,103982,115781,591,12,15732.73,1007,
2020-05-06 00:00:00,"MO",9102,91645,100747,396,32,10293.97,1981,
2020-05-07 00:00:00,"MO",9341,94281,103622,418,43,22348.32,4291,
2020-05-08 00:00:00,"MO",9489,99232,108721,449,191,1581200.16,12545,
2020-05-09 00:00:00,"MO",9666,99232,108898,472,191,1581200.16,12545,
2020-05-10 00:00:00,"MO",9844,105702,115546,482,191,1581200.16,12545,
2020-05-11 00:00:00,"MO",9918,105702,115620,488,196,1610578.55,13611,
2020-05-06 00:00:00,"MS",8424,72101,80525,374,30,10182.37,1955,
2020-05-07 00:00:00,"MS",8686,72101,80787,396,38,18949.17,3635,
2020-05-08 00:00:00,"MS",9090,72101,81191,409,176,1005078.91,16355,
2020-05-09 00:00:00,"MS",9378,72101,81479,421,176,1005078.91,16355,
2020-05-10 00:00:00,"MS",9501,72101,81602,430,176,1005078.91,16355,
2020-05-11 00:00:00,"MS",9674,86211,95885,435,179,1009210.59,16412,
2020-05-06 00:00:00,"MT",456,19248,19704,16,5,1532.66,310,
2020-05-07 00:00:00,"MT",456,19791,20247,16,7,3724.36,730,
2020-05-08 00:00:00,"MT",458,20487,20945,16,27,36383.91,2068,
2020-05-09 00:00:00,"MT",458,20871,21329,16,27,36383.91,2068,
2020-05-10 00:00:00,"MT",458,21246,21704,16,27,36383.91,2068,
2020-05-11 00:00:00,"MT",459,22113,22572,16,30,43012.13,2414,
2020-05-06 00:00:00,"NC",12758,151724,164482,477,65,24409.73,3782,
2020-05-07 00:00:00,"NC",13397,157931,171328,507,78,38655.78,6512,
2020-05-08 00:00:00,"NC",13868,164745,178613,527,501,6167907.17,35586,
2020-05-09 00:00:00,"NC",14360,172002,186362,544,501,6167907.17,35586,
2020-05-10 00:00:00,"NC",14764,177371,192135,547,501,6167907.17,35586,
2020-05-11 00:00:00,"NC",15045,180820,195865,550,511,6682789.41,38911,
2020-05-06 00:00:00,"ND",1323,37309,38632,31,6,3615.35,615,
2020-05-07 00:00:00,"ND",1371,39496,40867,31,7,4711.2,825,
2020-05-08 00:00:00,"ND",1425,41076,42501,33,99,123759.22,4076,
