DateRecorded,Country,State,City,Confirmed,Deaths,Recovered,Active,Latitude,Longitude
05/05/2020,US,Texas,Armstrong,2,0,0,2,34.96507426,-101.3574874
05/05/2020,US,Maine,Aroostook,6,0,0,6,46.65926321,-68.59841248
05/05/2020,US,Nebraska,Arthur,0,0,0,0,41.56896142,-101.6959559
05/05/2020,US,Louisiana,Ascension,657,40,0,617,30.20406249,-90.91328409999998
05/05/2020,US,North Carolina,Ashe,5,0,0,5,36.43296207,-81.49862729
05/05/2020,US,Ohio,Ashland,9,0,0,9,40.84772277,-82.27280781
05/05/2020,US,Wisconsin,Ashland,2,0,0,2,46.31956891,-90.67837132
05/05/2020,US,Arkansas,Ashley,15,0,0,15,33.19153461,-91.7698471
05/05/2020,US,Ohio,Ashtabula,160,17,0,143,41.70860332,-80.74830218
05/05/2020,US,Washington,Asotin,18,2,0,16,46.18894415,-117.2022851
05/05/2020,US,Louisiana,Assumption,202,6,0,196,29.89946234,-91.06461642
05/05/2020,US,Texas,Atascosa,19,1,0,18,28.89333001,-98.52730485
05/05/2020,US,Kansas,Atchison,12,0,0,12,39.53185661,-95.30870026
05/05/2020,US,Missouri,Atchison,2,0,0,2,40.43238737,-95.42970639
05/05/2020,US,Ohio,Athens,4,1,0,3,39.33425634,-82.04278644
05/05/2020,US,Georgia,Atkinson,14,1,0,13,31.29633502,-82.87545866
05/05/2020,US,New Jersey,Atlantic,1190,51,0,1139,39.47538693,-74.65848483
05/05/2020,US,Oklahoma,Atoka,1,0,0,1,34.37366573,-96.03802487
05/05/2020,US,Mississippi,Attala,137,2,0,135,33.08658803,-89.57838564
05/05/2020,US,Missouri,Audrain,1,0,0,1,39.215877,-91.84242683
05/05/2020,US,Iowa,Audubon,8,0,0,8,41.6844628,-94.90581859
05/05/2020,US,Ohio,Auglaize,36,3,0,33,40.55998859,-84.22421429999999
05/05/2020,US,Virginia,Augusta,47,1,0,46,38.16404586,-79.12461614
05/05/2020,US,South Dakota,Aurora,1,0,0,1,43.71757685,-98.56050467
05/05/2020,US,Texas,Austin,13,0,0,13,29.88548725,-96.27736949
05/05/2020,US,Alabama,Autauga,53,3,0,50,32.53952745,-86.64408227
05/05/2020,US,Louisiana,Avoyelles,73,7,0,66,31.07796211,-92.00079449
05/05/2020,US,Colorado,Baca,12,0,0,12,37.31940883,-102.5603223
05/05/2020,US,Georgia,Bacon,28,1,0,27,31.55456473,-82.45936528
05/05/2020,US,Texas,Bailey,1,0,0,1,34.06854817,-102.8299707
05/05/2020,US,Florida,Baker,22,3,0,19,30.33060121,-82.28467476
05/05/2020,US,Georgia,Baker,26,2,0,24,31.32669878,-84.44218806
05/05/2020,US,Alabama,Baldwin,189,5,0,184,30.72774991,-87.72207058
05/05/2020,US,Georgia,Baldwin,260,10,0,250,33.06882326,-83.24701748
05/05/2020,US,Kentucky,Ballard,8,0,0,8,37.05842757,-88.99427697
05/05/2020,US,Maryland,Baltimore,3430,157,0,3273,39.45784712,-76.62911955
05/05/2020,US,Maryland,Baltimore City,2609,133,0,2476,39.30211911,-76.61151012
05/05/2020,US,South Carolina,Bamberg,13,0,0,13,33.21927586,-81.05659969
05/05/2020,US,Texas,Bandera,6,0,0,6,29.74619598,-99.24598147
05/05/2020,US,Georgia,Banks,29,0,0,29,34.35607081,-83.49644388
05/05/2020,US,Idaho,Bannock,11,0,0,11,42.67002716,-112.2233311
05/05/2020,US,Michigan,Baraga,1,0,0,1,46.6720582,-88.36363591
05/05/2020,US,Kansas,Barber,1,0,0,1,37.2288586,-98.68460053
05/05/2020,US,Alabama,Barbour,47,1,0,46,31.868263,-85.3871286
05/05/2020,US,West Virginia,Barbour,6,1,0,5,39.1307219,-80.00350858
05/05/2020,US,North Dakota,Barnes,4,0,0,4,46.93579637,-98.06605978
05/05/2020,US,Massachusetts,Barnstable,969,48,0,921,41.72980578,-70.28854339
05/05/2020,US,South Carolina,Barnwell,27,0,0,27,33.26679302,-81.43584352
05/05/2020,US,Kentucky,Barren,22,0,0,22,36.96469836,-85.93338945
05/05/2020,US,Wisconsin,Barron,7,0,0,7,45.42372701,-91.84833627
05/05/2020,US,Georgia,Barrow,177,5,0,172,33.99148694,-83.71436292
05/05/2020,US,Michigan,Barry,39,1,0,38,42.59513984,-85.30834519
05/05/2020,US,Missouri,Barry,5,0,0,5,36.70978521,-93.82919888
05/05/2020,US,Indiana,Bartholomew,297,17,0,280,39.20744865,-85.89558181
05/05/2020,US,Kansas,Barton,9,0,0,9,38.47889676,-98.75636726
05/05/2020,US,Georgia,Bartow,350,31,0,319,34.23732119,-84.83887523
05/05/2020,US,Texas,Bastrop,98,2,0,96,30.10370699,-97.31206354
05/05/2020,US,Missouri,Bates,6,1,0,5,38.25271289,-94.34113157
05/05/2020,US,Kentucky,Bath,4,1,0,3,38.14735938,-83.74588932
05/05/2020,US,Virginia,Bath,0,0,0,0,38.05852573,-79.73912095
05/05/2020,US,Arkansas,Baxter,5,0,0,5,36.28784385,-92.33782872
05/05/2020,US,Florida,Bay,76,3,0,73,30.26548745,-85.62122584
05/05/2020,US,Michigan,Bay,162,8,0,154,43.70639106,-83.98731479
05/05/2020,US,Wisconsin,Bayfield,3,1,0,2,46.52868768,-91.19716729
05/05/2020,US,South Dakota,Beadle,21,2,0,19,44.41464384,-98.27858469
05/05/2020,US,Utah,Bear River,62,1,0,61,41.52106798,-113.0832816
05/05/2020,US,North Carolina,Beaufort,22,0,0,22,35.48531943,-76.84325809
05/05/2020,US,South Carolina,Beaufort,270,12,0,258,32.39226291,-80.72619758
05/05/2020,US,Louisiana,Beauregard,43,3,0,40,30.64836518,-93.34173616
05/05/2020,US,Oklahoma,Beaver,15,0,0,15,36.7496847,-100.4758872
05/05/2020,US,Pennsylvania,Beaver,466,73,0,393,40.6825484,-80.34921611
05/05/2020,US,Montana,Beaverhead,1,0,0,1,45.13434354,-112.8984694
05/05/2020,US,Minnesota,Becker,15,0,0,15,46.93479392,-95.67158144
05/05/2020,US,Oklahoma,Beckham,6,0,0,6,35.26862449,-99.68128023
05/05/2020,US,Pennsylvania,Bedford,26,1,0,25,40.00522157,-78.48998442
05/05/2020,US,Tennessee,Bedford,201,3,0,198,35.51123746,-86.45549096
05/05/2020,US,Virginia,Bedford,36,0,0,36,37.3080028,-79.5281964
05/05/2020,US,Texas,Bee,6,0,0,6,28.41761668,-97.74215593
05/05/2020,US,New Hampshire,Belknap,40,0,0,40,43.51637314,-71.41684235
05/05/2020,US,Texas,Bell,210,3,0,207,31.03736027,-97.4785025
05/05/2020,US,Ohio,Belmont,181,7,0,174,40.01625942,-80.9924051
05/05/2020,US,Minnesota,Beltrami,6,0,0,6,47.97373527,-94.93732139
05/05/2020,US,Georgia,Ben Hill,29,0,0,29,31.76095874,-83.22145359
05/05/2020,US,Vermont,Bennington,54,1,0,53,43.03519828,-73.09048868
05/05/2020,US,Arkansas,Benton,110,0,0,110,36.33644656,-94.25680817
05/05/2020,US,Indiana,Benton,10,0,0,10,40.60626947,-87.31093999
05/05/2020,US,Iowa,Benton,34,1,0,33,42.08011739,-92.06463573
05/05/2020,US,Minnesota,Benton,48,1,0,47,45.69804958,-93.99514135
05/05/2020,US,Mississippi,Benton,12,0,0,12,34.81681228,-89.18945516
05/05/2020,US,Missouri,Benton,8,0,0,8,38.29503305,-93.28756116
05/05/2020,US,Oregon,Benton,39,5,0,34,44.49167306,-123.4316987
05/05/2020,US,Tennessee,Benton,6,1,0,5,36.07110411,-88.06849355
05/05/2020,US,Washington,Benton,537,46,0,491,46.23946995,-119.5120834
05/05/2020,US,Michigan,Benzie,4,0,0,4,44.63899297,-86.01608482
05/05/2020,US,New Jersey,Bergen,16460,1261,0,15199,40.96010917,-74.07164325
05/05/2020,US,South Carolina,Berkeley,188,14,0,174,33.20222596,-79.94654523
05/05/2020,US,West Virginia,Berkeley,166,2,0,164,39.46704621,-78.02414609
05/05/2020,US,Pennsylvania,Berks,3004,147,0,2857,40.41570541,-75.92457766
05/05/2020,US,Massachusetts,Berkshire,457,36,0,421,42.37428441,-73.20524838
05/05/2020,US,New Mexico,Bernalillo,963,42,0,921,35.05163625,-106.6703554
05/05/2020,US,Georgia,Berrien,17,0,0,17,31.27590016,-83.22529920000002
05/05/2020,US,Michigan,Berrien,315,20,0,295,41.95447397,-86.41313079999998
05/05/2020,US,North Carolina,Bertie,51,2,0,49,36.0688473,-76.96545943
05/05/2020,US,Alaska,Bethel,1,0,0,1,60.90980451,-159.8561831
05/05/2020,US,Texas,Bexar,1652,48,0,1604,29.44928723,-98.52019748
05/05/2020,US,Alabama,Bibb,43,0,0,43,32.99642064,-87.12511459999996
05/05/2020,US,Georgia,Bibb,351,13,0,338,32.80904227,-83.70489165
05/05/2020,US,Louisiana,Bienville,78,14,0,64,32.34569994,-93.05398492
05/05/2020,US,Montana,Big Horn,3,0,0,3,45.42335905,-107.492347
05/05/2020,US,Wyoming,Big Horn,3,0,0,3,44.52405055,-107.9960365
05/05/2020,US,Minnesota,Big Stone,2,0,0,2,45.42712824,-96.41403739
05/05/2020,US,Idaho,Bingham,4,0,0,4,43.21672879999999,-112.3978437
05/05/2020,US,Iowa,Black Hawk,1378,18,0,1360,42.4704581,-92.30524729
05/05/2020,US,Indiana,Blackford,10,1,0,9,40.47388153,-85.32499702
05/05/2020,US,North Carolina,Bladen,34,0,0,34,34.61296243,-78.56180059
05/05/2020,US,Idaho,Blaine,499,5,0,494,43.4085812,-113.9752658
05/05/2020,US,Oklahoma,Blaine,2,0,0,2,35.87518314,-98.43307003
05/05/2020,US,Pennsylvania,Blair,25,0,0,25,40.47961444,-78.34917412
05/05/2020,US,Texas,Blanco,6,0,0,6,30.26640707,-98.3999852
05/05/2020,US,Virginia,Bland,0,0,0,0,37.13128068,-81.13599391
05/05/2020,US,Georgia,Bleckley,21,0,0,21,32.43829035,-83.33035166
05/05/2020,US,Tennessee,Bledsoe,601,0,0,601,35.59942968,-85.20611967
05/05/2020,US,Alabama,Blount,40,0,0,40,33.98210918,-86.56790593
05/05/2020,US,Tennessee,Blount,73,3,0,70,35.68938198,-83.92847788
05/05/2020,US,Minnesota,Blue Earth,51,0,0,51,44.03554215,-94.06699781
05/05/2020,US,Mississippi,Bolivar,112,8,0,104,33.79696941,-90.87372121
05/05/2020,US,Missouri,Bollinger,4,0,0,4,37.32449052,-90.02725304
05/05/2020,US,South Dakota,Bon Homme,4,0,0,4,42.98914167,-97.88592746
05/05/2020,US,Illinois,Bond,7,1,0,6,38.88829622,-89.43534887
05/05/2020,US,Idaho,Bonner,4,0,0,4,48.29996017,-116.6017932
05/05/2020,US,Idaho,Bonneville,28,0,0,28,43.38713372,-111.6161537
05/05/2020,US,Arkansas,Boone,4,0,0,4,36.3084504,-93.09374925
05/05/2020,US,Illinois,Boone,146,10,0,136,42.32359279,-88.82345779
05/05/2020,US,Indiana,Boone,207,26,0,181,40.0509304,-86.46841646
05/05/2020,US,Iowa,Boone,28,0,0,28,42.03657094,-93.9313999
05/05/2020,US,Kentucky,Boone,191,4,0,187,38.97065142,-84.72615357
05/05/2020,US,Missouri,Boone,97,1,0,96,38.99186229,-92.30723575
05/05/2020,US,Nebraska,Boone,2,0,0,2,41.70759415,-98.06737183
05/05/2020,US,West Virginia,Boone,6,0,0,6,38.01974191,-81.69888019
05/05/2020,US,Texas,Bosque,5,0,0,5,31.89978581,-97.63613524
05/05/2020,US,Louisiana,Bossier,300,17,0,283,32.67932307,-93.60460152
05/05/2020,US,Virginia,Botetourt,29,3,0,26,37.55531756,-79.80982182
05/05/2020,US,Colorado,Boulder,685,46,0,639,40.09313619,-105.3546767
05/05/2020,US,Idaho,Boundary,0,0,0,0,48.76684761,-116.4630179
05/05/2020,US,Kansas,Bourbon,6,1,0,5,37.85508555,-94.84865997
05/05/2020,US,Kentucky,Bourbon,8,1,0,7,38.2054607,-84.21827874
05/05/2020,US,Texas,Bowie,79,2,0,77,33.44626922,-94.41834132
05/05/2020,US,North Dakota,Bowman,1,0,0,1,46.11285362,-103.5203343
05/05/2020,US,Nebraska,Box Butte,1,0,0,1,42.22079243,-103.0878834
05/05/2020,US,Kentucky,Boyd,31,3,0,28,38.36176608,-82.68652187
05/05/2020,US,Kentucky,Boyle,17,0,0,17,37.62680923,-84.8633779
05/05/2020,US,Kentucky,Bracken,9,0,0,9,38.69158994,-84.08532444
05/05/2020,US,Florida,Bradford,48,2,0,46,29.95079741,-82.16611613
05/05/2020,US,Pennsylvania,Bradford,35,2,0,33,41.78869215,-76.51570822
05/05/2020,US,Arkansas,Bradley,11,1,0,10,33.46755808,-92.15980837
05/05/2020,US,Tennessee,Bradley,59,1,0,58,35.15739424,-84.857186
05/05/2020,US,Michigan,Branch,70,2,0,68,41.91600556,-85.05929476
05/05/2020,US,Georgia,Brantley,22,2,0,20,31.19576557,-81.97743999
05/05/2020,US,West Virginia,Braxton,2,0,0,2,38.70036159,-80.72011184
05/05/2020,US,Texas,Brazoria,566,7,0,559,29.18757369,-95.44563172
05/05/2020,US,Texas,Brazos,209,16,0,193,30.663644800000004,-96.30205577
05/05/2020,US,Kentucky,Breathitt,2,0,0,2,37.52333168,-83.31959161
05/05/2020,US,Kentucky,Breckinridge,9,0,0,9,37.77377239,-86.42885017
