DateRecorded,State,CountyName,Population,Population20Plus,Population65Plus,StaffedAllBeds,StaffedICUBeds,LicensedAllBeds
05/07/2020,AL,Walker,63711.0,48270.0,12311.0,207.0,12.0,267.0
05/07/2020,AL,Washington,16378.0,12385.0,3130.0,15.0,0.0,25.0
05/07/2020,AL,Wilcox,10627.0,7803.0,2066.0,21.0,0.0,30.0
05/07/2020,AL,Winston,23660.0,18335.0,5101.0,49.0,4.0,49.0
05/07/2020,AR,Arkansas,17769.0,13332.0,3484.0,74.0,0.0,74.0
05/07/2020,AR,Ashley,20046.0,15032.0,4081.0,25.0,6.0,33.0
05/07/2020,AR,Baxter,41619.0,33558.0,12860.0,170.0,17.0,268.0
05/07/2020,AR,Benton,272608.0,194642.0,36557.0,275.0,30.0,434.0
05/07/2020,AR,Boone,37480.0,28154.0,7743.0,120.0,24.0,174.0
05/07/2020,AR,Bradley,10897.0,8063.0,2067.0,25.0,0.0,33.0
05/07/2020,AR,Carroll,28223.0,21524.0,6544.0,40.0,0.0,40.0
05/07/2020,AR,Chicot,10438.0,7879.0,2122.0,25.0,0.0,40.0
05/07/2020,AR,Clark,22061.0,16329.0,3687.0,25.0,0.0,25.0
05/07/2020,AR,Clay,14847.0,11314.0,3179.0,25.0,0.0,25.0
05/07/2020,AR,Cleburne,24965.0,19785.0,6687.0,0.0,0.0,25.0
05/07/2020,AR,Columbia,23537.0,17199.0,4101.0,30.0,6.0,49.0
05/07/2020,AR,Conway,20891.0,15770.0,4095.0,25.0,0.0,25.0
05/07/2020,AR,Craighead,108558.0,77967.0,15030.0,589.0,66.0,746.0
05/07/2020,AR,Crawford,63406.0,46448.0,10547.0,39.0,8.0,103.0
05/07/2020,AR,Crittenden,48342.0,34014.0,6838.0,52.0,0.0,54.0
05/07/2020,AR,Cross,16676.0,12381.0,3130.0,15.0,0.0,25.0
05/07/2020,AR,Dallas,7182.0,5507.0,1665.0,22.0,0.0,25.0
05/07/2020,AR,Desha,11512.0,8312.0,2188.0,50.0,0.0,50.0
05/07/2020,AR,Drew,18328.0,13661.0,3207.0,49.0,5.0,49.0
05/07/2020,AR,Faulkner,124806.0,91830.0,15582.0,275.0,25.0,287.0
05/07/2020,AR,Franklin,17810.0,13308.0,3443.0,25.0,0.0,25.0
05/07/2020,AR,Fulton,12269.0,9503.0,3221.0,25.0,0.0,25.0
05/07/2020,AR,Garland,99154.0,77137.0,23632.0,423.0,41.0,562.0
05/07/2020,AR,Greene,45325.0,33187.0,7242.0,114.0,8.0,129.0
